size,n_games,threads,serial_time_s,openmp_time_s,speedup,efficiency_pct,serial_throughput,openmp_throughput,serial_frac_pct
1k,1000,64,0.06,0.01,7.98,12.47,15978.86,127567.99,11.14
10k,10000,64,0.62,0.02,35.96,56.19,16073.25,578003.54,1.24
100k,100000,64,6.22,0.11,58.22,90.97,16070.24,935632.94,0.16
1m,1000000,64,68.33,1.00,68.58,107.16,14635.62,1003718.02,0.00
10m,10000000,1,622.88,644.20,0.97,96.69,16054.40,15523.02,N/A
10m,10000000,2,622.88,323.10,1.93,96.39,16054.40,30950.43,3.74
10m,10000000,4,622.88,160.66,3.88,96.92,16054.40,62241.84,1.06
10m,10000000,8,622.88,80.77,7.71,96.39,16054.40,123803.91,0.53
10m,10000000,16,622.88,40.18,15.50,96.89,16054.40,248875.91,0.21
10m,10000000,32,622.88,20.01,31.13,97.29,16054.40,499827.32,0.09
10m,10000000,64,622.88,9.95,62.58,97.78,16054.40,1004624.35,0.04
100m,100000000,64,6234.92,99.54,62.64,97.87,16038.69,1004616.36,0.03
