size,n_games,variant,threads,execution_time_s,throughput_games_s,moves_per_sec,games_per_sec_per_thread
1k,1000,openmp,64,0.00783896,127567.99,51950788.247600004,1993.24984375
1k,1000,serial,1,0.0625827,15978.86,6361983.109,15978.86
10k,10000,openmp,64,0.0173009,578003.54,231536658.0532,9031.3053125
10k,10000,serial,1,0.622152,16073.25,6413387.4825,16073.25
100k,100000,openmp,64,0.10688,935632.94,375254303.24579996,14619.2646875
100k,100000,serial,1,6.22268,16070.24,6440952.192,16070.24
1m,1000000,openmp,64,0.996296,1003718.02,402189810.614,15683.0940625
1m,1000000,serial,1,68.3264,14635.62,5865956.496,14635.62
10m,10000000,openmp,1,644.204,15523.02,6222247.3368,15523.02
10m,10000000,openmp,2,323.097,30950.43,12404622.8397,15475.215
10m,10000000,openmp,4,160.664,62241.84,24944039.7984,15560.46
10m,10000000,openmp,8,80.7729,123803.91,49631749.4799,15475.48875
10m,10000000,openmp,16,40.1807,248875.91,99737020.9325,15554.744375
10m,10000000,openmp,32,20.0069,499827.32,200330789.856,15619.60375
10m,10000000,openmp,64,9.95397,1004624.35,402673531.967,15697.25546875
10m,10000000,serial,1,622.882,16054.4,6434924.608,16054.4
100m,100000000,openmp,64,99.5405,1004616.36,402650237.088,15697.130625
100m,100000000,serial,1,6234.92,16038.69,6428467.3389,16038.69
1b,1000000000,openmp,64,999.097,1000903.77,401182249.0914,15639.12140625
