size,n_games,threads,openmp_time_s,games_per_sec,moves_per_sec,speedup,efficiency_pct,serial_frac_pct
1k,1000,1,N/A,N/A,N/A,N/A,N/A,N/A
1k,1000,2,N/A,N/A,N/A,N/A,N/A,N/A
1k,1000,4,N/A,N/A,N/A,N/A,N/A,N/A
1k,1000,8,N/A,N/A,N/A,N/A,N/A,N/A
1k,1000,16,N/A,N/A,N/A,N/A,N/A,N/A
1k,1000,32,N/A,N/A,N/A,N/A,N/A,N/A
1k,1000,64,0.01,127567.99,51950788.25,N/A,N/A,N/A
10k,10000,1,N/A,N/A,N/A,N/A,N/A,N/A
10k,10000,2,N/A,N/A,N/A,N/A,N/A,N/A
10k,10000,4,N/A,N/A,N/A,N/A,N/A,N/A
10k,10000,8,N/A,N/A,N/A,N/A,N/A,N/A
10k,10000,16,N/A,N/A,N/A,N/A,N/A,N/A
10k,10000,32,N/A,N/A,N/A,N/A,N/A,N/A
10k,10000,64,0.02,578003.54,231536658.05,N/A,N/A,N/A
100k,100000,1,N/A,N/A,N/A,N/A,N/A,N/A
100k,100000,2,N/A,N/A,N/A,N/A,N/A,N/A
100k,100000,4,N/A,N/A,N/A,N/A,N/A,N/A
100k,100000,8,N/A,N/A,N/A,N/A,N/A,N/A
100k,100000,16,N/A,N/A,N/A,N/A,N/A,N/A
100k,100000,32,N/A,N/A,N/A,N/A,N/A,N/A
100k,100000,64,0.11,935632.94,375254303.25,N/A,N/A,N/A
1m,1000000,1,N/A,N/A,N/A,N/A,N/A,N/A
1m,1000000,2,N/A,N/A,N/A,N/A,N/A,N/A
1m,1000000,4,N/A,N/A,N/A,N/A,N/A,N/A
1m,1000000,8,N/A,N/A,N/A,N/A,N/A,N/A
1m,1000000,16,N/A,N/A,N/A,N/A,N/A,N/A
1m,1000000,32,N/A,N/A,N/A,N/A,N/A,N/A
1m,1000000,64,1.00,1003718.02,402189810.61,N/A,N/A,N/A
10m,10000000,1,644.20,15523.02,6222247.34,N/A,N/A,N/A
10m,10000000,2,323.10,30950.43,12404622.84,N/A,N/A,N/A
10m,10000000,4,160.66,62241.84,24944039.80,N/A,N/A,N/A
10m,10000000,8,80.77,123803.91,49631749.48,N/A,N/A,N/A
10m,10000000,16,40.18,248875.91,99737020.93,N/A,N/A,N/A
10m,10000000,32,20.01,499827.32,200330789.86,N/A,N/A,N/A
10m,10000000,64,9.95,1004624.35,402673531.97,N/A,N/A,N/A
100m,100000000,1,N/A,N/A,N/A,N/A,N/A,N/A
100m,100000000,2,N/A,N/A,N/A,N/A,N/A,N/A
100m,100000000,4,N/A,N/A,N/A,N/A,N/A,N/A
100m,100000000,8,N/A,N/A,N/A,N/A,N/A,N/A
100m,100000000,16,N/A,N/A,N/A,N/A,N/A,N/A
100m,100000000,32,N/A,N/A,N/A,N/A,N/A,N/A
100m,100000000,64,99.54,1004616.36,402650237.09,N/A,N/A,N/A
1b,1000000000,1,N/A,N/A,N/A,N/A,N/A,N/A
1b,1000000000,2,N/A,N/A,N/A,N/A,N/A,N/A
1b,1000000000,4,N/A,N/A,N/A,N/A,N/A,N/A
1b,1000000000,8,N/A,N/A,N/A,N/A,N/A,N/A
1b,1000000000,16,N/A,N/A,N/A,N/A,N/A,N/A
1b,1000000000,32,N/A,N/A,N/A,N/A,N/A,N/A
1b,1000000000,64,999.10,1000903.77,401182249.09,50.88,79.50,0.41
