size,variant,threads,n_games,execution_time_s,throughput_games_s,moves_per_sec,games_per_sec_per_thread,white_wins_pct,black_wins_pct,draws_pct,avg_length_plies,checkmate_pct,fifty_moves_pct,stalemate_pct,threefold_pct,any_capture_pct,queen_capture_pct,source
100k,openmp,64,100000,0.10688,935632.94,375254303.24579996,14619.2646875,7.6,7.52,84.88,401.07,15.12,66.38,6.31,12.19,99.87,97.87,results\cpu_openmp\2026-04-20_213206\sim\100k_openmp\64\summary.txt
100m,openmp,64,100000000,99.5405,1004616.36,402650237.088,15697.130625,7.66,7.65,84.69,400.8,15.31,66.33,6.28,12.07,99.87,97.86,results\cpu_openmp\2026-04-20_213206\sim\100m_openmp\64\summary.txt
10k,openmp,64,10000,0.0173009,578003.54,231536658.0532,9031.3053125,7.97,7.67,84.36,400.58,15.64,66.39,6.43,11.54,99.8,97.79,results\cpu_openmp\2026-04-20_213206\sim\10k_openmp\64\summary.txt
10m,openmp,1,10000000,644.204,15523.02,6222247.3368,15523.02,7.65,7.65,84.7,400.84,15.3,66.35,6.28,12.07,99.87,97.86,results\cpu_openmp\2026-04-20_213206\sim\10m_openmp\1\summary.txt
10m,openmp,16,10000000,40.1807,248875.91,99737020.9325,15554.744375,7.66,7.67,84.67,400.75,15.33,66.31,6.28,12.07,99.87,97.86,results\cpu_openmp\2026-04-20_213206\sim\10m_openmp\16\summary.txt
10m,openmp,2,10000000,323.097,30950.43,12404622.8397,15475.215,7.66,7.65,84.69,400.79,15.31,66.33,6.29,12.07,99.87,97.86,results\cpu_openmp\2026-04-20_213206\sim\10m_openmp\2\summary.txt
10m,openmp,32,10000000,20.0069,499827.32,200330789.856,15619.60375,7.65,7.65,84.69,400.8,15.31,66.34,6.29,12.06,99.87,97.86,results\cpu_openmp\2026-04-20_213206\sim\10m_openmp\32\summary.txt
10m,openmp,4,10000000,160.664,62241.84,24944039.7984,15560.46,7.66,7.67,84.67,400.76,15.33,66.32,6.28,12.07,99.87,97.86,results\cpu_openmp\2026-04-20_213206\sim\10m_openmp\4\summary.txt
10m,openmp,64,10000000,9.95397,1004624.35,402673531.967,15697.25546875,7.64,7.66,84.7,400.82,15.3,66.34,6.28,12.07,99.87,97.87,results\cpu_openmp\2026-04-20_213206\sim\10m_openmp\64\summary.txt
10m,openmp,8,10000000,80.7729,123803.91,49631749.4799,15475.48875,7.65,7.64,84.71,400.89,15.29,66.36,6.28,12.07,99.87,97.86,results\cpu_openmp\2026-04-20_213206\sim\10m_openmp\8\summary.txt
1b,openmp,64,1000000000,999.097,1000903.77,401182249.0914,15639.12140625,7.66,7.65,84.69,400.82,15.31,66.33,6.28,12.08,99.87,97.86,results\cpu_openmp\2026-04-20_213206\sim\1b_openmp\64\summary.txt
1k,openmp,64,1000,0.00783896,127567.99,51950788.247600004,1993.24984375,6.7,8.0,85.3,407.24,14.7,67.3,5.2,12.8,99.9,98.5,results\cpu_openmp\2026-04-20_213206\sim\1k_openmp\64\summary.txt
1m,openmp,64,1000000,0.996296,1003718.02,402189810.614,15683.0940625,7.66,7.63,84.71,400.7,15.29,66.31,6.3,12.1,99.86,97.87,results\cpu_openmp\2026-04-20_213206\sim\1m_openmp\64\summary.txt
100k,serial,1,100000,6.22268,16070.24,6440952.192,16070.24,7.78,7.54,84.68,400.8,15.32,66.12,6.4,12.15,99.88,97.92,results\cpu_serial\2026-04-20_213206\sim\100k_serial\summary.txt
100m,serial,1,100000000,6234.92,16038.69,6428467.3389,16038.69,7.66,7.65,84.69,400.81,15.31,66.33,6.28,12.08,99.87,97.86,results\cpu_serial\2026-04-20_213206\sim\100m_serial\summary.txt
10k,serial,1,10000,0.622152,16073.25,6413387.4825,16073.25,7.94,7.76,84.3,399.01,15.7,65.81,6.57,11.92,99.84,97.81,results\cpu_serial\2026-04-20_213206\sim\10k_serial\summary.txt
10m,serial,1,10000000,622.882,16054.4,6434924.608,16054.4,7.65,7.65,84.7,400.82,15.3,66.35,6.29,12.07,99.87,97.86,results\cpu_serial\2026-04-20_213206\sim\10m_serial\summary.txt
1b,serial,1,1000000000,50836.8,19670.77,7884438.0314,19670.77,7.66,7.65,84.69,400.82,15.31,66.33,6.29,12.08,99.87,97.86,results\cpu_serial\2026-04-20_213206\sim\1b_serial\summary.txt
1k,serial,1,1000,0.0625827,15978.86,6361983.109,15978.86,8.4,8.1,83.5,398.15,16.5,65.2,7.2,11.1,99.9,98.1,results\cpu_serial\2026-04-20_213206\sim\1k_serial\summary.txt
1m,serial,1,1000000,68.3264,14635.62,5865956.496,14635.62,7.62,7.69,84.69,400.8,15.31,66.36,6.26,12.07,99.87,97.87,results\cpu_serial\2026-04-20_213206\sim\1m_serial\summary.txt
